Stove Type,Laser 73/730,Latitude,64.89163,Longitude,-147.674,,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Thermistor resistance of the indoor thermistor
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Thermistor resistance (ohms)
1543400596.0,1,223672,11377
1543400653.0,2,224374,12115
1543400818.0,1,225697,11506
1543400994.0,2,228305,11314
1543401349.0,-1,-1,11377
1543401649.0,-1,-1,10535
1543401948.0,-1,-1,10535
1543402244.0,4,238250,10884
1543402601.0,-1,-1,10766
1543402900.0,-1,-1,11065
1543403199.0,-1,-1,11377
1543403499.0,-1,-1,11188
1543403799.0,-1,-1,11188
1543404098.0,-1,-1,11441
1543404398.0,-1,-1,11571
1543404698.0,-1,-1,11571
1543404998.0,-1,-1,11906
1543405074.0,1,238254,11188
1543405129.0,2,238948,11251
1543405297.0,1,240293,11838
1543405472.0,2,242899,11441
1543405828.0,-1,-1,11441
1543406128.0,-1,-1,11377
1543406427.0,-1,-1,11188
1543406659.0,4,252342,10944
1543407014.0,-1,-1,10884
1543407314.0,-1,-1,11065
1543407613.0,-1,-1,11377
1543407913.0,-1,-1,11571
1543408212.0,-1,-1,11637
1543408512.0,-1,-1,11441
1543408812.0,-1,-1,11251
1543409111.0,-1,-1,11637
1543409166.0,2,252932,11506
1543409520.0,-1,-1,10944
1543409819.0,-1,-1,11188
1543410119.0,-1,-1,11704
1543410418.0,-1,-1,10766
1543410718.0,-1,-1,10825
1543410850.0,4,266331,10825
1543411205.0,-1,-1,11126
1543411504.0,-1,-1,11377
1543411804.0,-1,-1,11314
1543412103.0,-1,-1,11506
1543412403.0,-1,-1,11770
1543412702.0,-1,-1,12045
1543412819.0,1,266335,11975
1543412875.0,2,267002,11314
1543413035.0,1,268281,11975
1543413211.0,2,270890,10707
1543413566.0,-1,-1,11314
1543413866.0,-1,-1,11065
1543414165.0,-1,-1,10650
1543414222.0,4,278702,10884
1543414576.0,-1,-1,10944
1543414876.0,-1,-1,11441
1543415176.0,-1,-1,11188
1543415475.0,-1,-1,11377
1543415775.0,-1,-1,11637
1543416074.0,-1,-1,12045
1543416374.0,-1,-1,11637
1543416673.0,-1,-1,12115
1543416757.0,1,278705,11838
1543416811.0,2,279377,11975
1543417165.0,-1,-1,11251
1543417464.0,-1,-1,11126
1543417764.0,-1,-1,11251
1543418063.0,-1,-1,10535
1543418270.0,4,290989,10707
1543418627.0,-1,-1,11314
1543418926.0,-1,-1,11377
1543419226.0,-1,-1,11377
1543419525.0,-1,-1,11314
1543419824.0,-1,-1,11637
1543420124.0,-1,-1,11506
1543420424.0,-1,-1,11975
1543420723.0,-1,-1,11704
1543420780.0,2,291645,11906
1543421135.0,-1,-1,11441
1543421435.0,-1,-1,11065
1543421734.0,-1,-1,11004
1543422034.0,-1,-1,11065
1543422333.0,-1,-1,10479
1543422522.0,4,305510,10535
1543422879.0,-1,-1,11065
1543423178.0,-1,-1,11251
1543423477.0,-1,-1,11704
1543423777.0,-1,-1,11506
1543424076.0,-1,-1,11975
1543424376.0,-1,-1,11251
1543424662.0,1,305513,11637
1543424719.0,2,306164,11975
1543424878.0,1,307433,11838
1543425053.0,2,310040,11506
1543425408.0,-1,-1,10766
1543425658.0,4,314852,10944
1543426012.0,-1,-1,10257
1543426312.0,-1,-1,11065
1543426611.0,-1,-1,11770
1543426911.0,-1,-1,11637
1543427210.0,-1,-1,11975
1543427510.0,-1,-1,12329
1543427810.0,-1,-1,12185
1543428109.0,-1,-1,11975
1543428408.0,-1,-1,12624
1543428708.0,-1,-1,12475
1543429008.0,-1,-1,12185
1543429308.0,-1,-1,11975
1543429607.0,-1,-1,12329
1543429907.0,-1,-1,12115
1543430207.0,-1,-1,12045
1543430506.0,-1,-1,12045
1543430806.0,-1,-1,12185
1543431106.0,-1,-1,12257
1543431322.0,1,314858,11838
1543431378.0,2,315553,11906
1543431543.0,1,316865,12257
1543431897.0,-1,-1,10944
1543432196.0,-1,-1,10479
1543432386.0,2,329410,10535
1543432742.0,-1,-1,10203
1543433042.0,-1,-1,10312
1543433341.0,-1,-1,10203
1543433493.0,4,338200,10367
1543433853.0,-1,-1,10257
1543434152.0,-1,-1,10096
1543434452.0,-1,-1,10707
1543434751.0,-1,-1,10825
1543435051.0,-1,-1,10650
1543435350.0,-1,-1,10884
1543435650.0,-1,-1,11126
1543435950.0,-1,-1,10884
1543436250.0,-1,-1,11637
1543436549.0,-1,-1,11126
1543436849.0,-1,-1,11441
1543437148.0,-1,-1,11251
1543437448.0,-1,-1,11441
1543437747.0,-1,-1,11441
1543438047.0,-1,-1,11571
1543438346.0,-1,-1,11704
1543438646.0,-1,-1,11770
1543438945.0,-1,-1,11838
1543439245.0,-1,-1,11377
1543439545.0,-1,-1,11637
1543439844.0,-1,-1,11770
1543440144.0,-1,-1,11704
1543440444.0,-1,-1,11770
1543440744.0,-1,-1,11704
1543441043.0,-1,-1,11838
1543441343.0,-1,-1,12185
1543441643.0,-1,-1,12185
1543441943.0,-1,-1,11770
1543442243.0,-1,-1,12401
1543442542.0,-1,-1,11704
1543442842.0,-1,-1,12185
1543443142.0,-1,-1,11770
1543443442.0,-1,-1,12257
1543443741.0,-1,-1,12185
1543444041.0,-1,-1,11975
1543444341.0,-1,-1,12329
1543444641.0,-1,-1,12329
1543444941.0,-1,-1,12329
1543445053.0,1,338201,13087
1543445108.0,2,338875,12775
1543445274.0,1,340196,12257
1543445449.0,2,342803,12045
1543445507.0,4,343124,11571
1543445862.0,-1,-1,11704
1543446162.0,-1,-1,11770
1543446461.0,-1,-1,12401
1543446761.0,-1,-1,11906
1543447061.0,-1,-1,12329
1543447361.0,-1,-1,12475
1543447661.0,-1,-1,12775
1543447715.0,1,343501,12045
1543447771.0,2,343987,12852
1543447906.0,1,345060,12549
1543448081.0,2,347666,11506
1543448136.0,4,348068,11770
1543448490.0,-1,-1,12401
1543448790.0,-1,-1,11906
1543449089.0,-1,-1,12045
1543449389.0,-1,-1,12115
1543449533.0,1,348068,12624
1543449591.0,2,348739,12401
1543449748.0,1,349986,12549
1543449923.0,2,352592,11975
1543449982.0,4,352821,11377
1543450339.0,-1,-1,11838
1543450638.0,-1,-1,12257
1543450938.0,-1,-1,11838
1543451238.0,-1,-1,12185
1543451537.0,-1,-1,12624
1543451801.0,1,352823,12852
1543451855.0,2,353475,12549
1543452017.0,1,354768,12930
1543452192.0,2,357378,12185
1543452247.0,4,357792,11506
1543452604.0,-1,-1,12115
1543452904.0,-1,-1,12185
1543453203.0,-1,-1,12329
1543453503.0,-1,-1,12115
1543453802.0,-1,-1,12549
1543453927.0,1,357792,12329
1543453981.0,2,358445,12401
1543454144.0,1,359743,12257
1543454319.0,2,362347,11838
1543454375.0,4,362791,11906
1543454732.0,-1,-1,11571
1543455031.0,-1,-1,12185
1543455331.0,-1,-1,12045
1543455631.0,-1,-1,12475
1543455767.0,1,362791,12257
1543455824.0,2,363436,12257
1543455982.0,1,364695,12624
1543456157.0,2,367301,11838
1543456211.0,4,367663,11770
1543456566.0,-1,-1,11637
1543456865.0,-1,-1,12115
1543457165.0,-1,-1,12115
1543457464.0,-1,-1,11906
1543457764.0,-1,-1,12401
1543457823.0,2,368229,12699
1543457992.0,1,369580,11906
1543458167.0,2,372190,11704
1543458232.0,4,372706,11838
1543458589.0,-1,-1,11571
1543458888.0,-1,-1,12475
1543459188.0,-1,-1,12329
1543459488.0,-1,-1,12475
1543459629.0,1,372709,12852
1543459686.0,2,373358,12624
1543459843.0,1,374612,12475
1543460018.0,2,377218,11571
1543460080.0,4,377715,11838
1543460437.0,-1,-1,11506
1543460736.0,-1,-1,12115
1543461036.0,-1,-1,12115
1543461335.0,-1,-1,12329
1543461472.0,1,377716,12775
1543461529.0,2,378362,12475
1543461685.0,1,379603,12775
1543461860.0,2,382209,11637
1543461971.0,4,383093,11975
1543462327.0,-1,-1,11975
1543462626.0,-1,-1,11838
1543462926.0,-1,-1,12401
1543463070.0,1,383095,12329
1543463127.0,2,383740,12549
1543463284.0,1,384998,12401
1543463460.0,2,387606,11975
1543463516.0,4,387907,11906
1543463872.0,-1,-1,11506
1543464172.0,-1,-1,12257
1543464472.0,-1,-1,12045
1543464771.0,-1,-1,12115
1543465011.0,1,387907,12185
1543465067.0,2,388566,12401
1543465227.0,1,389841,12257
1543465402.0,2,392447,11770
1543465491.0,4,393153,11704
1543465846.0,-1,-1,11506
1543466145.0,-1,-1,12045
1543466444.0,-1,-1,12401
1543466744.0,-1,-1,12624
1543466828.0,1,393153,12475
1543466885.0,2,393814,12699
1543467045.0,1,395088,12775
1543467220.0,2,397693,12257
1543467311.0,4,398421,11377
1543467670.0,-1,-1,11770
1543467970.0,-1,-1,12045
1543468269.0,-1,-1,12257
1543468569.0,-1,-1,12257
1543468663.0,1,398423,12852
1543468720.0,2,399062,12475
1543468877.0,1,400313,12549
1543469051.0,2,402918,12045
1543469141.0,4,403631,11441
1543469497.0,-1,-1,11906
1543469797.0,-1,-1,11906
1543470096.0,-1,-1,12045
1543470298.0,1,403632,12257
1543470354.0,2,404277,11704
1543470710.0,-1,-1,12115
1543471010.0,-1,-1,11704
1543471066.0,4,409554,11704
1543471422.0,-1,-1,11838
1543471722.0,-1,-1,11637
1543472021.0,-1,-1,12045
1543472321.0,-1,-1,12475
1543472423.0,1,409554,12549
1543472479.0,2,410199,12549
1543472637.0,1,411460,12775
1543472812.0,2,414066,11770
1543472934.0,4,415037,11506
1543473291.0,-1,-1,11770
1543473590.0,-1,-1,12115
1543473889.0,-1,-1,11975
1543474189.0,-1,-1,12115
1543474253.0,1,415040,11906
1543474309.0,2,415699,12930
1543474469.0,1,416973,12401
1543474644.0,2,419580,11906
1543474727.0,4,420241,11838
1543475083.0,-1,-1,12115
1543475383.0,-1,-1,12115
1543475682.0,-1,-1,12624
1543475804.0,1,420242,12185
1543475860.0,2,420873,12257
1543476016.0,1,422116,12475
1543476191.0,2,424722,11906
1543476247.0,4,425139,11906
1543476603.0,-1,-1,11975
1543476903.0,-1,-1,12475
1543477202.0,-1,-1,11838
1543477502.0,-1,-1,12185
1543477677.0,1,425139,11975
1543477734.0,2,425785,12699
1543477892.0,1,427044,12329
1543478066.0,2,429649,12329
1543478178.0,4,430538,11637
1543478535.0,-1,-1,11637
1543478834.0,-1,-1,12115
1543479133.0,-1,-1,12475
1543479433.0,-1,-1,12257
1543479733.0,-1,-1,11188
1543480032.0,-1,-1,10592
1543480087.0,2,431137,10592
1543480260.0,1,432518,11314
1543480435.0,2,435123,11251
1543480495.0,4,435520,11314
1543480850.0,-1,-1,11314
1543481149.0,-1,-1,12257
1543481449.0,-1,-1,11770
1543481748.0,-1,-1,11975
1543482048.0,-1,-1,11838
1543482348.0,-1,-1,11838
1543482647.0,-1,-1,12115
1543482947.0,-1,-1,12115
1543483246.0,-1,-1,11975
1543483545.0,-1,-1,11906
1543483845.0,-1,-1,12185
1543483914.0,1,435520,12185
1543483968.0,2,436194,12401
1543484133.0,1,437514,12475
1543484308.0,2,440122,11770
1543484365.0,4,440329,11571
1543484721.0,-1,-1,11975
