Stove type: Laser 73/730,,Latitude of the PUMA device location,[64.57072],Longitude of the PUMA device location,[-147.045],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543521927.0,-1,-1,0,0.0,0.0,70.6,20.69,49.91
1543522227.0,-1,-1,0,0.0,0.0,70.6,20.72,49.88
1543522526.0,-1,-1,0,0.0,0.0,70.83,20.75,50.08
1543522826.0,-1,-1,0,0.0,0.0,70.83,20.78,50.05
1543523126.0,-1,-1,0,0.0,0.0,70.6,20.81,49.79
1543523425.0,-1,-1,0,0.0,0.0,70.6,20.84,49.76
1543523725.0,-1,-1,0,0.0,0.0,70.6,20.87,49.73
1543524025.0,-1,-1,0,0.0,0.0,70.83,20.9,49.93
1543524325.0,-1,-1,0,0.0,0.0,71.06,20.93,50.13
1543524624.0,-1,-1,0,0.0,0.0,71.29,20.96,50.33
1543524924.0,-1,-1,0,0.0,0.0,71.06,20.99,50.07
1543525224.0,-1,-1,0,0.0,0.0,70.83,21.02,49.81
1543525524.0,-1,-1,0,0.0,0.0,71.29,21.02,50.27
1543525823.0,-1,-1,0,0.0,0.0,71.29,21.02,50.27
1543526123.0,-1,-1,0,0.0,0.0,71.29,21.02,50.27
1543526423.0,-1,-1,0,0.0,0.0,71.06,21.02,50.04
1543526722.0,-1,-1,0,0.0,0.0,71.06,21.02,50.04
1543527022.0,-1,-1,0,0.0,0.0,71.29,21.02,50.27
1543527322.0,-1,-1,0,0.0,0.0,71.06,21.02,50.04
1543527622.0,-1,-1,0,0.0,0.0,71.52,21.02,50.5
1543527921.0,-1,-1,0,0.0,0.0,71.06,21.02,50.04
1543528221.0,-1,-1,0,0.0,0.0,71.29,21.02,50.27
1543528521.0,-1,-1,0,0.0,0.0,71.74,21.02,50.72
1543528820.0,-1,-1,0,0.0,0.0,71.52,21.02,50.5
1543529120.0,-1,-1,0,0.0,0.0,71.52,20.99,50.53
1543529420.0,-1,-1,0,0.0,0.0,71.74,20.96,50.78
1543529719.0,-1,-1,0,0.0,0.0,71.97,20.93,51.04
1543530019.0,-1,-1,0,0.0,0.0,71.52,20.9,50.62
1543530319.0,-1,-1,0,0.0,0.0,71.74,20.87,50.87
1543530619.0,-1,-1,0,0.0,0.0,71.74,20.84,50.9
1543530918.0,-1,-1,0,0.0,0.0,71.52,20.81,50.71
1543531218.0,-1,-1,0,0.0,0.0,71.97,20.78,51.19
1543531518.0,-1,-1,0,0.0,0.0,71.74,20.75,50.99
1543531818.0,-1,-1,0,0.0,0.0,71.97,20.72,51.25
1543532118.0,-1,-1,0,0.0,0.0,71.52,20.69,50.83
1543532417.0,-1,-1,0,0.0,0.0,71.74,20.66,51.08
1543532717.0,-1,-1,0,0.0,0.0,71.52,20.6,50.92
1543533017.0,-1,-1,0,0.0,0.0,71.97,20.54,51.43
1543533316.0,-1,-1,0,0.0,0.0,71.29,20.48,50.81
1543533616.0,-1,-1,0,0.0,0.0,71.97,20.42,51.55
1543533916.0,-1,-1,0,0.0,0.0,71.97,20.36,51.61
1543534215.0,-1,-1,0,0.0,0.0,71.97,20.3,51.67
1543534515.0,-1,-1,0,0.0,0.0,71.97,20.24,51.73
1543534815.0,-1,-1,0,0.0,0.0,72.19,20.18,52.01
1543535114.0,-1,-1,0,0.0,0.0,71.97,20.12,51.85
1543535414.0,-1,-1,0,0.0,0.0,71.97,20.06,51.91
1543535714.0,-1,-1,0,0.0,0.0,72.19,20.0,52.19
1543536334.0,-1,-1,0,0.0,0.0,72.42,19.94,52.48
1543536634.0,-1,-1,0,0.0,0.0,72.19,19.94,52.25
1543536934.0,-1,-1,0,0.0,0.0,72.19,19.94,52.25
1543537234.0,-1,-1,0,0.0,0.0,72.42,19.94,52.48
1543537533.0,-1,-1,0,0.0,0.0,72.19,19.94,52.25
1543537833.0,-1,-1,0,0.0,0.0,72.42,19.94,52.48
1543538133.0,-1,-1,0,0.0,0.0,72.42,19.94,52.48
1543538433.0,-1,-1,0,0.0,0.0,72.42,19.94,52.48
1543538732.0,-1,-1,0,0.0,0.0,72.65,19.94,52.71
1543539032.0,-1,-1,0,0.0,0.0,72.42,19.94,52.48
1543539332.0,-1,-1,0,0.0,0.0,72.19,19.94,52.25
1543539632.0,-1,-1,0,0.0,0.0,72.19,19.92,52.27
1543539932.0,-1,-1,0,0.0,0.0,72.65,19.72,52.93
1543540232.0,-1,-1,0,0.0,0.0,72.42,19.53,52.89
1543540532.0,-1,-1,0,0.0,0.0,72.42,19.33,53.09
1543540831.0,-1,-1,0,0.0,0.0,72.42,19.14,53.28
1543541131.0,-1,-1,0,0.0,0.0,72.42,18.94,53.48
1543541431.0,-1,-1,0,0.0,0.0,72.42,18.75,53.67
1543541731.0,-1,-1,0,0.0,0.0,72.65,18.55,54.1
1543542031.0,-1,-1,0,0.0,0.0,72.42,18.36,54.06
1543542330.0,-1,-1,0,0.0,0.0,72.42,18.17,54.25
1543542630.0,-1,-1,0,0.0,0.0,72.42,17.97,54.45
1543542930.0,-1,-1,0,0.0,0.0,72.87,17.78,55.09
1543543230.0,-1,-1,0,0.0,0.0,72.42,17.6,54.82
1543543530.0,-1,-1,0,0.0,0.0,72.65,17.6,55.05
1543543829.0,-1,-1,0,0.0,0.0,72.65,17.6,55.05
1543544129.0,-1,-1,0,0.0,0.0,72.65,17.6,55.05
1543544429.0,-1,-1,0,0.0,0.0,72.42,17.6,54.82
1543544728.0,-1,-1,0,0.0,0.0,72.42,17.6,54.82
1543545028.0,-1,-1,0,0.0,0.0,72.65,17.6,55.05
1543545328.0,-1,-1,0,0.0,0.0,72.65,17.6,55.05
1543545628.0,-1,-1,0,0.0,0.0,72.87,17.6,55.27
1543545928.0,-1,-1,0,0.0,0.0,72.65,17.6,55.05
1543546227.0,-1,-1,0,0.0,0.0,73.09,17.6,55.49
1543546527.0,-1,-1,0,0.0,0.0,73.09,17.6,55.49
1543546827.0,-1,-1,0,0.0,0.0,73.09,17.6,55.49
1543547127.0,-1,-1,0,0.0,0.0,73.32,17.58,55.74
1543547427.0,-1,-1,0,0.0,0.0,72.87,17.57,55.3
1543547726.0,-1,-1,0,0.0,0.0,73.32,17.55,55.77
1543548026.0,-1,-1,0,0.0,0.0,72.87,17.54,55.33
1543548326.0,-1,-1,0,0.0,0.0,72.65,17.52,55.13
