Stove Type,M422,Latitude,64.87386,Longitude,-147.813,Square Footage,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Thermistor resistance of the indoor thermistor
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Thermistor resistance (ohms)
1543751216.0,-1,-1,11065
1543751516.0,-1,-1,10367
1543751816.0,-1,-1,10766
1543752116.0,-1,-1,9990
1543752417.0,-1,-1,10257
1543752512.0,4,357056,10650
1543752868.0,-1,-1,11251
1543753168.0,-1,-1,11065
1543753469.0,-1,-1,10884
1543753725.0,2,357060,11126
1543754055.0,3,360072,10312
1543754409.0,-1,-1,10825
1543754709.0,-1,-1,10650
1543755010.0,-1,-1,9887
1543755310.0,-1,-1,10149
1543755610.0,-1,-1,9634
1543755773.0,4,372716,10944
1543756129.0,-1,-1,11188
1543756429.0,-1,-1,11441
1543756729.0,-1,-1,10944
1543756928.0,2,372717,11704
1543757283.0,-1,-1,10650
1543757339.0,3,376375,10312
1543757695.0,-1,-1,10312
1543757995.0,-1,-1,10944
1543758296.0,-1,-1,11571
1543758596.0,-1,-1,11251
1543758896.0,-1,-1,10367
1543759141.0,4,389631,10884
1543759496.0,-1,-1,10650
1543759797.0,-1,-1,11377
1543760097.0,-1,-1,11314
1543760383.0,2,389633,11188
1543760740.0,-1,-1,10766
1543760794.0,3,393293,11770
1543761148.0,-1,-1,10203
1543761448.0,-1,-1,10479
1543761748.0,-1,-1,9536
1543762049.0,-1,-1,10650
1543762349.0,-1,-1,9734
1543762649.0,-1,-1,10825
1543762950.0,-1,-1,10766
1543763250.0,-1,-1,9938
1543763550.0,-1,-1,10766
1543763850.0,-1,-1,10043
1543763906.0,4,415989,10479
1543764262.0,-1,-1,11126
1543764562.0,-1,-1,11377
1543764863.0,-1,-1,11314
1543765089.0,2,415989,11188
1543765443.0,-1,-1,11770
1543765498.0,3,419634,11188
1543765852.0,-1,-1,9634
1543766153.0,-1,-1,10707
1543766453.0,-1,-1,10592
1543766753.0,-1,-1,10650
1543767053.0,-1,-1,10257
1543767353.0,-1,-1,9990
1543767653.0,-1,-1,10257
1543767707.0,4,435706,9990
1543768063.0,-1,-1,11571
1543768364.0,-1,-1,10766
1543768664.0,-1,-1,10825
1543768869.0,2,435706,10592
1543769199.0,3,438719,10766
1543769556.0,-1,-1,9990
1543769856.0,-1,-1,10535
1543770156.0,-1,-1,10257
1543770456.0,-1,-1,10149
1543770756.0,-1,-1,9835
1543771056.0,-1,-1,10096
1543771357.0,-1,-1,9990
1543771657.0,-1,-1,10312
1543771957.0,-1,-1,10944
1543772257.0,-1,-1,10257
1543772557.0,-1,-1,9784
1543772721.0,4,464624,9990
1543773076.0,-1,-1,11506
1543773376.0,-1,-1,10592
1543773677.0,-1,-1,11377
1543773977.0,-1,-1,11770
1543774276.0,2,464627,11704
1543774632.0,-1,-1,9938
1543774695.0,4,468459,10650
1543774752.0,3,468875,11906
1543775110.0,-1,-1,11188
1543775410.0,-1,-1,11065
1543775710.0,-1,-1,10650
1543776010.0,-1,-1,10766
1543776310.0,-1,-1,10257
1543776610.0,-1,-1,10423
1543776911.0,-1,-1,10149
1543777211.0,-1,-1,10043
1543777267.0,4,487016,9784
1543777625.0,-1,-1,11314
1543777926.0,-1,-1,10766
1543778226.0,-1,-1,11441
1543778527.0,-1,-1,11377
1543778598.0,2,487310,11975
1543778895.0,4,490026,10592
1543778966.0,3,490548,10707
1543779320.0,-1,-1,10096
1543779620.0,-1,-1,11004
1543779921.0,-1,-1,10884
1543780221.0,-1,-1,9487
1543780521.0,-1,-1,10257
1543780782.0,4,503906,9990
1543781137.0,-1,-1,10535
1543781437.0,-1,-1,11314
1543781738.0,-1,-1,11704
1543782038.0,-1,-1,11506
1543782095.0,2,504312,10535
1543782410.0,3,507193,11704
1543782767.0,-1,-1,10592
1543783067.0,-1,-1,9835
1543783367.0,-1,-1,10043
1543783668.0,-1,-1,10825
1543783968.0,-1,-1,10535
1543784268.0,-1,-1,10149
1543784568.0,-1,-1,11441
1543784868.0,-1,-1,10825
1543785001.0,4,526249,10535
1543785358.0,-1,-1,10423
1543785658.0,-1,-1,11251
1543785959.0,-1,-1,11441
1543786217.0,2,526249,10944
1543786547.0,4,529261,10535
1543786604.0,3,529679,10707
1543786961.0,-1,-1,10423
1543787261.0,-1,-1,10535
1543787561.0,-1,-1,10592
1543787861.0,-1,-1,9938
1543788161.0,-1,-1,10592
1543788461.0,-1,-1,10043
1543788762.0,-1,-1,10096
1543789062.0,-1,-1,9835
1543789362.0,-1,-1,10884
1543789662.0,-1,-1,9684
1543789783.0,4,553067,10149
1543790141.0,-1,-1,11770
1543790441.0,-1,-1,11506
1543790742.0,-1,-1,10203
1543791042.0,-1,-1,10884
1543791215.0,2,553069,11004
1543791544.0,4,556078,10944
1543791601.0,3,556497,11571
1543791957.0,-1,-1,10367
1543792258.0,-1,-1,10825
1543792558.0,-1,-1,10367
1543792858.0,-1,-1,11188
1543793159.0,-1,-1,10707
1543793459.0,-1,-1,10312
1543793760.0,-1,-1,9734
1543794060.0,-1,-1,9684
1543794360.0,-1,-1,10479
1543794661.0,-1,-1,10707
1543794917.0,4,580890,10423
1543795298.0,-1,-1,10825
1543795599.0,-1,-1,11188
1543795899.0,-1,-1,10944
1543796199.0,-1,-1,11004
1543796428.0,2,580893,11065
1543796758.0,3,583904,10825
1543797115.0,-1,-1,9938
1543797415.0,-1,-1,10096
1543797716.0,-1,-1,10312
1543798016.0,-1,-1,10203
1543798316.0,-1,-1,9634
1543798617.0,-1,-1,9249
1543798917.0,-1,-1,9784
1543799217.0,-1,-1,10149
1543799517.0,-1,-1,9835
1543799817.0,-1,-1,9887
1543800118.0,-1,-1,9249
1543800172.0,4,608749,10203
1543800530.0,-1,-1,10535
1543800830.0,-1,-1,11975
1543801130.0,-1,-1,10096
1543801431.0,-1,-1,10592
1543801731.0,-1,-1,11441
1543801787.0,2,608860,12699
1543802105.0,3,611762,10149
1543802460.0,-1,-1,11065
1543802760.0,-1,-1,11004
1543803060.0,-1,-1,10650
1543803360.0,-1,-1,9634
1543803660.0,-1,-1,11126
1543803961.0,-1,-1,9684
1543804261.0,-1,-1,9684
1543804561.0,-1,-1,10149
1543804805.0,4,631622,10423
1543805162.0,-1,-1,10766
1543805463.0,-1,-1,10312
1543805763.0,-1,-1,11637
1543806063.0,-1,-1,11188
1543806272.0,2,631624,11065
1543806629.0,-1,-1,10766
1543806683.0,3,635284,11704
1543807039.0,-1,-1,10650
1543807340.0,-1,-1,11004
1543807640.0,-1,-1,11188
1543807940.0,-1,-1,10312
1543808240.0,-1,-1,10592
1543808541.0,-1,-1,10367
1543808841.0,-1,-1,10043
1543808897.0,4,651282,10257
1543809255.0,-1,-1,10825
1543809555.0,-1,-1,11377
1543813229.0,-1,-1,10535
1543813530.0,-1,-1,10592
1543813830.0,-1,-1,10766
1543814130.0,-1,-1,11004
1543814221.0,2,670772,10707
1543814550.0,4,673780,11126
1543814607.0,3,674198,11377
1543814963.0,-1,-1,10944
1543815264.0,-1,-1,10825
1543815564.0,-1,-1,10312
1543815864.0,-1,-1,10096
1543816164.0,-1,-1,11188
1543816465.0,-1,-1,9634
1543816683.0,4,689469,10149
1543817040.0,-1,-1,11314
1543817340.0,-1,-1,11126
1543817641.0,-1,-1,11188
1543817941.0,-1,-1,11377
1543818121.0,2,689472,11506
1543818477.0,-1,-1,11251
1543818533.0,3,693144,10423
1543818890.0,-1,-1,10203
1543819190.0,-1,-1,9887
1543819491.0,-1,-1,10944
1543819791.0,-1,-1,10096
1543820091.0,-1,-1,10479
1543820391.0,-1,-1,10423
1543820491.0,4,707548,10043
1543820851.0,-1,-1,10766
1543821151.0,-1,-1,11506
1543821451.0,-1,-1,11065
1543821751.0,-1,-1,10766
1543821852.0,2,707551,13664
1543822181.0,4,710559,10479
1543822238.0,3,710976,11838
1543822595.0,-1,-1,10203
1543822895.0,-1,-1,10203
1543823195.0,-1,-1,10423
1543823496.0,-1,-1,10257
1543823796.0,-1,-1,10312
1543824096.0,-1,-1,10043
1543824192.0,4,725354,9634
1543824548.0,-1,-1,10707
1543824848.0,-1,-1,11975
1543825148.0,-1,-1,11506
1543825449.0,-1,-1,11441
1543825623.0,2,725357,12699
1543825954.0,3,728370,10766
1543826310.0,-1,-1,10367
1543826610.0,-1,-1,10479
1543826910.0,-1,-1,10043
1543827210.0,-1,-1,10043
1543827510.0,-1,-1,9391
1543827811.0,-1,-1,10535
1543827970.0,4,743201,10312
1543828327.0,-1,-1,10592
1543828627.0,-1,-1,11506
1543828927.0,-1,-1,11126
1543829227.0,-1,-1,11704
1543829447.0,2,743202,11065
1543829807.0,-1,-1,11251
1543829957.0,4,747857,11188
1543830014.0,3,748273,10367
1543830370.0,-1,-1,10479
1543830670.0,-1,-1,10043
1543830971.0,-1,-1,11126
1543831271.0,-1,-1,10203
1543831571.0,-1,-1,9585
1543831778.0,4,761250,9634
1543832135.0,-1,-1,10535
1543832435.0,-1,-1,11441
1543832735.0,-1,-1,11506
1543833035.0,-1,-1,11251
1543833182.0,2,761255,11126
1543833538.0,-1,-1,11188
1543833632.0,3,765361,10479
1543833988.0,-1,-1,11377
1543834288.0,-1,-1,10766
1543834589.0,-1,-1,10312
1543834889.0,-1,-1,10592
1543835189.0,-1,-1,10043
1543835346.0,4,777975,10096
1543835704.0,-1,-1,10825
1543836004.0,-1,-1,11770
1543836304.0,-1,-1,11004
1543836604.0,-1,-1,11637
