Stove type: M422,,Latitude of the PUMA device location,[64.83723],Longitude of the PUMA device location,[-148.027],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1549984371.0,-1,-1,0,0.0,0.0,67.57,23.03,44.54
1549984648.0,2,260459,0,0.0,0.0,66.37,22.97,43.4
1549984947.0,4,263199,0,0.0,0.0,70.6,22.91,47.69
1549984977.0,3,263419,0,0.0,0.0,71.06,22.9,48.16
1549985023.0,4,263758,43,0.000187265,0.014655521739130433,71.74,22.9,48.84
1549985380.0,-1,-1,0,0.0,0.0,69.68,22.82,46.86
1549985680.0,-1,-1,2700,0.0117585,0.141102,68.28,22.76,45.52
1549985981.0,-1,-1,0,0.0,0.0,67.57,22.7,44.87
1549986281.0,-1,-1,530,0.0023081499999999997,0.027697799999999998,67.57,22.64,44.93
1549986582.0,-1,-1,0,0.0,0.0,67.33,22.58,44.75
1549986725.0,2,263760,493,0.002147015,0.05405072727272727,67.57,22.55,45.02
1549987024.0,4,266500,0,0.0,0.0,70.14,22.5,47.64
1549987064.0,3,266795,0,0.0,0.0,71.29,22.49,48.8
1549987127.0,4,267258,0,0.0,0.0,71.29,22.47,48.82
1549987457.0,-1,-1,0,0.0,0.0,69.68,22.5,47.18
1549987758.0,-1,-1,0,0.0,0.0,68.04,22.54,45.5
1549988058.0,-1,-1,0,0.0,0.0,67.57,22.59,44.98
1549988359.0,-1,-1,0,0.0,0.0,67.09,22.63,44.46
1549988659.0,-1,-1,3,1.3065e-05,0.00015678,67.8,22.68,45.12
1549988836.0,2,267261,0,0.0,0.0,66.85,22.71,44.14
1549989137.0,3,270005,2740,0.0119327,0.14271667774086377,70.14,22.75,47.39
1549989232.0,4,270704,0,0.0,0.0,71.06,22.76,48.3
1549989562.0,-1,-1,220,0.0009580999999999999,0.010452,69.21,22.81,46.4
1549989863.0,-1,-1,0,0.0,0.0,68.28,22.86,45.42
1549990163.0,-1,-1,821,0.003575455,0.04290546,67.8,22.9,44.9
1549990464.0,-1,-1,0,0.0,0.0,68.04,22.95,45.09
1549990764.0,-1,-1,0,0.0,0.0,67.57,22.99,44.58
1549991065.0,-1,-1,0,0.0,0.0,67.33,23.05,44.28
1549991267.0,2,270708,0,0.0,0.0,67.09,23.09,44.0
1549991567.0,3,273452,0,0.0,0.0,69.45,23.15,46.3
1549991734.0,4,274681,0,0.0,0.0,71.52,23.19,48.33
1549992064.0,-1,-1,0,0.0,0.0,69.68,23.25,46.43
1549992365.0,-1,-1,2744,0.01195012,0.14292502325581397,68.04,23.31,44.73
1549992665.0,-1,-1,0,0.0,0.0,68.04,23.37,44.67
1549992965.0,-1,-1,969,0.004219995,0.05063994,67.57,23.43,44.14
1549993266.0,-1,-1,0,0.0,0.0,67.09,23.49,43.6
1549993566.0,-1,-1,0,0.0,0.0,67.33,23.55,43.78
1549993675.0,2,274681,0,0.0,0.0,67.09,23.57,43.52
1549993976.0,3,277425,0,0.0,0.0,70.6,23.64,46.96
1549994071.0,4,278126,0,0.0,0.0,71.97,23.65,48.32
1549994411.0,-1,-1,0,0.0,0.0,69.21,23.72,45.49
1549994712.0,-1,-1,1,4.355e-06,5.208637873754152e-05,68.28,23.86,44.42
1549995012.0,-1,-1,0,0.0,0.0,67.33,24.0,43.33
1549995313.0,-1,-1,2740,0.0119327,0.14271667774086377,67.57,24.13,43.44
1549995500.0,2,278129,0,0.0,0.0,64.67,24.21,40.46
