Stove type: Laser 530,,Latitude of the PUMA device location,[64.91823],Longitude of the PUMA device location,[-147.868],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1544040742.0,-1,-1,26066,0.075773862,0.9092863439999999,72.19,21.63,50.56
1544041041.0,-1,-1,0,0.0,0.0,70.6,21.66,48.94
1544041114.0,1,134692,0,0.0,0.0,70.83,21.67,49.16
1544041403.0,4,136997,0,0.0,0.0,70.14,21.7,48.44
1544041476.0,2,137455,0,0.0,0.0,70.14,21.71,48.43
1544041832.0,-1,-1,1,2.907e-06,2.9396629213483143e-05,70.6,21.74,48.86
1544042131.0,-1,-1,0,0.0,0.0,70.83,21.77,49.06
1544042431.0,-1,-1,2566,0.007459362,0.089512344,71.29,21.8,49.49
1544042731.0,-1,-1,0,0.0,0.0,71.06,21.83,49.23
1544043031.0,-1,-1,458,0.001331406,0.015976872,70.83,21.86,48.97
1544043331.0,-1,-1,0,0.0,0.0,71.29,21.89,49.4
1544043630.0,-1,-1,0,0.0,0.0,70.83,21.92,48.91
1544043862.0,4,152538,0,0.0,0.0,71.97,21.96,50.01
1544044218.0,-1,-1,0,0.0,0.0,72.87,22.01,50.86
1544044518.0,-1,-1,0,0.0,0.0,75.52,22.06,53.46
1544044817.0,-1,-1,0,0.0,0.0,73.54,22.1,51.44
1544045117.0,-1,-1,11821,0.034363647,0.41236376399999997,72.19,22.15,50.04
1544045416.0,-1,-1,0,0.0,0.0,71.29,22.19,49.1
1544045537.0,1,152540,0,0.0,0.0,70.37,22.21,48.16
1544045859.0,4,155184,0,0.0,0.0,69.68,22.26,47.42
1544045916.0,2,155541,0,0.0,0.0,70.37,22.27,48.1
1544046288.0,-1,-1,0,0.0,0.0,69.91,22.32,47.59
1544046588.0,-1,-1,0,0.0,0.0,71.06,22.37,48.69
1544046887.0,-1,-1,338,0.000982566,0.011830226086956521,71.06,22.41,48.65
1544047187.0,-1,-1,0,0.0,0.0,70.83,22.46,48.37
1544047487.0,-1,-1,2305,0.006700635,0.08040762,70.83,22.45,48.38
1544047787.0,-1,-1,0,0.0,0.0,71.74,22.43,49.31
1544047881.0,4,167961,458,0.001331406,0.0509900170212766,71.06,22.43,48.63
1544048253.0,-1,-1,0,0.0,0.0,73.76,22.41,51.35
1544048553.0,-1,-1,0,0.0,0.0,74.65,22.39,52.26
1544048852.0,-1,-1,0,0.0,0.0,73.32,22.38,50.94
1544049152.0,-1,-1,0,0.0,0.0,71.74,22.36,49.38
