Stove type: Laser 56/560,,Latitude of the PUMA device location,[64.86001],Longitude of the PUMA device location,[-147.913],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543297488.0,-1,-1,0,0.0,0.0,71.97,22.64,49.33
1543297633.0,4,103489,1058,0.003075606,0.07635987310344827,74.21,22.61,51.6
1543297990.0,-1,-1,0,0.0,0.0,70.37,22.54,47.83
1543298290.0,-1,-1,3297,0.009584378999999999,0.11501254799999998,68.75,22.48,46.27
1543298590.0,-1,-1,0,0.0,0.0,68.04,22.34,45.7
1543298889.0,-1,-1,341,0.000991287,0.011935228093645485,66.85,22.14,44.71
1543298946.0,1,103874,0,0.0,0.0,67.09,22.11,44.98
1543299002.0,2,104250,1850,0.005377949999999999,0.34572535714285707,67.57,22.07,45.5
1543299140.0,1,105080,0,0.0,0.0,67.33,21.98,45.35
1543299488.0,2,108775,0,0.0,0.0,70.6,21.75,48.85
1543299844.0,-1,-1,0,0.0,0.0,72.65,21.52,51.13
1543299982.0,4,111744,0,0.0,0.0,72.65,21.43,51.22
1543300338.0,-1,-1,2,5.814e-06,5.8793258426966286e-05,70.6,21.2,49.4
1543300638.0,-1,-1,0,0.0,0.0,68.75,21.01,47.74
1543300938.0,-1,-1,544,0.0015814079999999999,0.018976896,68.75,20.81,47.94
1543301238.0,-1,-1,0,0.0,0.0,68.04,20.62,47.42
1543301537.0,-1,-1,1042,0.003029094,0.03647069698996655,68.04,20.42,47.62
1543301594.0,1,112078,0,0.0,0.0,67.8,20.38,47.42
1543301650.0,2,112467,0,0.0,0.0,68.04,20.35,47.69
1543301790.0,1,113313,4158,0.012087305999999999,0.31081643999999997,67.8,20.26,47.54
1543302116.0,2,116763,0,0.0,0.0,70.37,20.03,50.34
1543302464.0,4,118861,0,0.0,0.0,74.42,19.77,54.65
1543302821.0,-1,-1,0,0.0,0.0,69.91,19.5,50.41
1543303121.0,-1,-1,0,0.0,0.0,68.51,19.28,49.23
1543303421.0,-1,-1,6126,0.017808281999999998,0.21369938399999996,67.8,19.05,48.75
1543303657.0,1,118865,0,0.0,0.0,67.8,18.88,48.92
1543303713.0,2,119402,0,0.0,0.0,67.33,18.84,48.49
1543303886.0,1,120440,0,0.0,0.0,67.09,18.71,48.38
